labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
Whe_00-10,	1,	1.083,	335.6187989,	9.59302486,	1,	19.42411915,	0.967584294,	2021.69
Whe_10-15,	1.5,	1.086,	684.521114,	31.37497382,	0.5,	56.53043583,	3.004558766,	0
Whe_15-20,	2,	1.202,	220.3388744,	5.706269838,	0.5,	14.57652659,	0.653189775,	2
Whe_20-25,	2.5,	1.075,	650.6871961,	26.28100832,	0.5,	38.59346322,	2.195505414,	
Whe_35-40,	4,	1.107,	568.7707583,	17.37970998,	0.5,	25.11607319,	1.395337399,	
Whe_45-50,	5,	1.128,	519.5250749,	17.74663849,	0.5,	29.40845431,	1.554285106,	
Whe_50-55,	5.5,	1.144,	222.8670078,	5.356699059,	0.5,	13.8034689,	0.60128855,	
Whe_60-65,	6.5,	1.169,	308.2374,	9.189863729,	0.5,	21.7033878,	1.000039322,	
Whe_70-75,	7.5,	1.128,	220.1406025,	8.187117098,	0.5,	20.38068321,	1.021591339,	
Whe_80-85,	8.5,	1.126,	212.6184341,	10.07908041,	0.5,	25.44467659,	1.283514147,	
Whe_90-95,	9.5,	1.252,	115.0551287,	5.329825917,	0.5,	21.09393441,	0.935892001,	
Whe_105-110,	11,	1.256,	69.10304496,	3.667608816,	0.5,	18.82287828,	0.793995199,	
Whe_120-125,	12.5,	1.261,	87.79438646,	5.237374004,	0.5,	21.58298485,	1.008506651,	
Whe_140-145,	14.5,	1.341,	86.04823745,	4.130447574,	0.5,	20.1613968,	0.829329047,	
Whe_165-170,	17,	1.332,	16.97077881,	1.466051998,	0.5,	16.4018461,	0.621710372,	
Whe_185-190,	19,	1.363,	80.66170607,	3.290259619,	0.5,	14.61764897,	0.580999386,	
Whe_200-210,	21,	1.384,	18.55064674,	1.422769657,	1,	16.68117686,	0.596136627,	
Whe_250-260,	26,	1.355,	34.0321564,	2.602504046,	1,	19.24467408,	0.81178758,	
Whe_300-310,	31,	1.312,	60.61085544,	3.388249824,	1,	14.94707797,	0.712573983,	
