#  Archuleta County, Colorado July-September Precipitation
# Units: Inches
Date,Value
189509,5.68
189609,5.68
189709,6.78
189809,5.66
189909,6.86
190009,3.12
190109,4.11
190209,5.56
190309,4.99
190409,6.61
190509,4.66
190609,7.22
190709,7.91
190809,7.19
190909,10.64
191009,5.1
191109,12.28
191209,5.06
191309,5.86
191409,7.72
191509,8.22
191609,9.64
191709,4.55
191809,6.12
191909,10.98
192009,6.73
192109,8.03
192209,3.05
192309,11.08
192409,4.69
192509,9.53
192609,6.34
192709,11.06
192809,5.56
192909,16.84
193009,7.72
193109,8.19
193209,6.82
193309,7.41
193409,7.41
193509,9.09
193609,12.82
193709,6.41
193809,6.31
193909,5.71
194009,6.33
194109,8.01
194209,3.99
194309,5.53
194409,4.47
194509,5.09
194609,6.9
194709,8.35
194809,3.89
194909,6.8
195009,5.01
195109,4.71
195209,5.57
195309,4.57
195409,7.25
195509,5.67
195609,2.57
195709,10.34
195809,5.3
195909,7.41
196009,3.19
196109,8.04
196209,4.52
196309,8.1
196409,7.88
196509,7.77
196609,4.86
196709,9.61
196809,7.84
196909,9.65
197009,9.9
197109,7.29
197209,5.11
197309,5.86
197409,5.48
197509,5.81
197609,7.63
197709,9.24
197809,2.35
197909,3.89
198009,4.26
198109,8.09
198209,9.12
198309,6.21
198409,7.42
198509,8.19
198609,10.66
198709,4.27
198809,7.89
198909,6.04
199009,9.59
199109,8.22
199209,7.65
199309,6.84
199409,6.34
199509,6.72
199609,5.94
199709,10.49
199809,6.73
199909,11.47
200009,4.33
200109,5.75
200209,5.37
200309,6.04
200409,6.48
200509,5.76
200609,10.8
200709,7.63
200809,5.99
200909,4.39
201009,8.29
201109,6.12
201209,6.28
201309,11.39
201409,6.61
201509,6.6
201609,6.67
201709,8.41
201809,3.66
201909,3.98
202009,4.49
202109,6.44
202209,8.74
202309,4.54
202409,8.11
